id,category,name,description,xref,provided_by,synonym,deprecated,iri,object,predicate,relation,same_as,subject,subsets,hop
NCBITaxon:1526571,biolink:OrganismTaxon,Lacimicrobium alkaliphilum,,GC_ID:11|PMID:26537772,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1526571,,,,,,,2.0
NCBITaxon:198347,biolink:OrganismTaxon,Clostridium algoriphilum,,GC_ID:11|PMID:15844014,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_198347,,,,,,,2.0
NCBITaxon:490093,biolink:OrganismTaxon,Haloferula rosea,,GC_ID:11|PMID:18984682,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_490093,,,,,,,2.0
strain:bacdive_1768,biolink:OrganismTaxon,bacdive_1768 as BLAPIII-AGV of NCBITaxon:686666,,,Graph,,,,,,,,,,2.0
strain:bacdive_14263,biolink:OrganismTaxon,bacdive_14263 as C16y of NCBITaxon:658225,,,Graph,,,,,,,,,,2.0
NCBITaxon:1079988,biolink:OrganismTaxon,Corynebacterium glutamicum ATCC 14067,,GC_ID:11,Graph,Brevibacterium flavum ATCC 14067|Corynebacterium glutamicum str. ATCC 14067|Corynebacterium glutamicum strain ATCC 14067,,http://purl.obolibrary.org/obo/NCBITaxon_1079988,,,,,,,1.0
strain:CCUG-27703,biolink:OrganismTaxon,CCUG 27703,,,Graph,,,,,,,,,,1.0
strain:ATCC-13059,biolink:OrganismTaxon,ATCC 13059,,,Graph,,,,,,,,,,1.0
strain:CCTM-La-3704,biolink:OrganismTaxon,CCTM La 3704,,,Graph,,,,,,,,,,1.0
NCBITaxon:945550,biolink:OrganismTaxon,Vibrio sinaloensis DSM 21326,,GC_ID:11,Graph,Vibrio sinaloensis CAIM 648|Vibrio sinaloensis str. DSM 21326|Vibrio sinaloensis strain DSM 21326,,http://purl.obolibrary.org/obo/NCBITaxon_945550,,,,,,,2.0
strain:bacdive_134347,biolink:OrganismTaxon,bacdive_134347 as SY1 of NCBITaxon:459529,,,Graph,,,,,,,,,,2.0
strain:bacdive_24170,biolink:OrganismTaxon,bacdive_24170 as SMA-21 of NCBITaxon:1036677,,,Graph,,,,,,,,,,2.0
strain:DSM-5426,biolink:OrganismTaxon,DSM 5426,,,Graph,,,,,,,,,,1.0
strain:ATCC-21668,biolink:OrganismTaxon,ATCC 21668,,,Graph,,,,,,,,,,1.0
strain:KY-10407,biolink:OrganismTaxon,KY 10407,,,Graph,,,,,,,,,,1.0
NCBITaxon:563170,biolink:OrganismTaxon,Ferruginibacter alkalilentus,,GC_ID:11|PMID:19620358|PMID:25957051,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_563170,,,,,,,2.0
NCBITaxon:157227,biolink:OrganismTaxon,Jeotgalicoccus halotolerans,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_157227,,,,,,,2.0
strain:CIP-78.11,biolink:OrganismTaxon,CIP 78.11,,,Graph,,,,,,,,,,1.0
strain:bacdive_133744,biolink:OrganismTaxon,bacdive_133744 as K8617-1--1b of NCBITaxon:1017181,,,Graph,,,,,,,,,,2.0
strain:bacdive_12645,biolink:OrganismTaxon,bacdive_12645 of NCBITaxon:1160719,,,Graph,,,,,,,,,,2.0
strain:bacdive_1585,biolink:OrganismTaxon,bacdive_1585 as EN-2 of NCBITaxon:272559,,,Graph,,,,,,,,,,2.0
NCBITaxon:857227,biolink:OrganismTaxon,Halopseudomonas gallaeciensis,,GC_ID:11,Graph,Pseudomonas gallaeciensis,,http://purl.obolibrary.org/obo/NCBITaxon_857227,,,,,,,2.0
strain:bacdive_166151,biolink:OrganismTaxon,bacdive_166151 as PRB40 of NCBITaxon:2056873,,,Graph,,,,,,,,,,2.0
NCBITaxon:1075088,biolink:OrganismTaxon,Corynebacterium glutamicum S9114,,GC_ID:11,Graph,Corynebacterium glutamicum str. S9114|Corynebacterium glutamicum strain S9114,,http://purl.obolibrary.org/obo/NCBITaxon_1075088,,,,,,,1.0
NCBITaxon:1079753,biolink:OrganismTaxon,Neisseria meningitidis Nm2732,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1079753,,,,,,,2.0
NCBITaxon:112140,biolink:OrganismTaxon,Gluconacetobacter johannae,,GC_ID:11|PMID:11491326,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_112140,,,,,,,2.0
NCBITaxon:1151422,biolink:OrganismTaxon,Clostridioides difficile P46,,GC_ID:11,Graph,Clostridium difficile P46|Peptoclostridium difficile P46,,http://purl.obolibrary.org/obo/NCBITaxon_1151422,,,,,,,2.0
NCBITaxon:1169410,biolink:OrganismTaxon,Pasteurella multocida subsp. gallicida X73,,GC_ID:11,Graph,Pasteurella multocida subsp. gallicida str. X73|Pasteurella multocida subsp. gallicida strain X73,,http://purl.obolibrary.org/obo/NCBITaxon_1169410,,,,,,,2.0
NCBITaxon:1182695,biolink:OrganismTaxon,Klebsiella sp. KTE92,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1182695,,,,,,,2.0
NCBITaxon:1198672,biolink:OrganismTaxon,Corynebacterium glutamicum Z188,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1198672,,,,,,,1.0
NCBITaxon:1204414,biolink:OrganismTaxon,Corynebacterium glutamicum K051,,GC_ID:11,Graph,Corynebacterium glutamicum str. K051|Corynebacterium glutamicum strain K051,,http://purl.obolibrary.org/obo/NCBITaxon_1204414,,,,,,,1.0
NCBITaxon:1232381,biolink:OrganismTaxon,Corynebacterium glutamicum SCgG1,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1232381,,,,,,,1.0
NCBITaxon:1232382,biolink:OrganismTaxon,Corynebacterium glutamicum ZL-5,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1232382,,,,,,,1.0
NCBITaxon:1232383,biolink:OrganismTaxon,Corynebacterium glutamicum SCgG2,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1232383,,,,,,,1.0
NCBITaxon:1232384,biolink:OrganismTaxon,Corynebacterium glutamicum ZL-6,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1232384,,,,,,,1.0
NCBITaxon:1265827,biolink:OrganismTaxon,Listeria grayi FSL F6-1183,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1265827,,,,,,,2.0
NCBITaxon:1281158,biolink:OrganismTaxon,Escherichia coli KOEGE 33 (68a),,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1281158,,,,,,,2.0
NCBITaxon:1304280,biolink:OrganismTaxon,Corynebacterium glutamicum ZL-2,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1304280,,,,,,,1.0
NCBITaxon:1310161,biolink:OrganismTaxon,Corynebacterium glutamicum MB001,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1310161,,,,,,,1.0
NCBITaxon:1310164,biolink:OrganismTaxon,Corynebacterium glutamicum MT,,GC_ID:11,Graph,Corynebacterium crenatum str. AS 1.542 substr. MT,,http://purl.obolibrary.org/obo/NCBITaxon_1310164,,,,,,,1.0
NCBITaxon:1353261,biolink:OrganismTaxon,Mariprofundus sp. DIS-1,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1353261,,,,,,,2.0
NCBITaxon:1357277,biolink:OrganismTaxon,Pseudomonas syringae CC1543,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1357277,,,,,,,2.0
NCBITaxon:1435373,biolink:OrganismTaxon,Burkholderia pseudomallei MSHR7504,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1435373,,,,,,,2.0
NCBITaxon:1716,biolink:OrganismTaxon,Corynebacterium,,GC_ID:11|PMID:10425754|PMID:19661509|PMID:29760685|PMID:30186281|PMID:7547284|PMID:7547291|PMID:7547293|PMID:8186090,Graph,Turicella,,http://purl.obolibrary.org/obo/NCBITaxon_1716,,,,,,,1.0
NCBITaxon:198252,biolink:OrganismTaxon,Candidatus Pelagibacter ubique,,GC_ID:11|PMID:12167859|PMID:7857801|PMID:8123559,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_198252,,,,,,,2.0
NCBITaxon:301388,biolink:OrganismTaxon,Cellulomonas bogoriensis,,GC_ID:11|PMID:16014506,Graph,Actinotalea bogoriensis,,http://purl.obolibrary.org/obo/NCBITaxon_301388,,,,,,,2.0
NCBITaxon:340322,biolink:OrganismTaxon,Corynebacterium glutamicum R,,GC_ID:11,Graph,Corynebacterium glutamicum str. R|Corynebacterium glutamicum strain R,,http://purl.obolibrary.org/obo/NCBITaxon_340322,,,,,,,1.0
NCBITaxon:418136,biolink:OrganismTaxon,Francisella tularensis subsp. tularensis WY96-3418,,GC_ID:11,Graph,Francisella tularensis subsp. tularensis str. WY96-3418|Francisella tularensis subsp. tularensis strain WY96-3418,,http://purl.obolibrary.org/obo/NCBITaxon_418136,,,,,,,2.0
NCBITaxon:425104,biolink:OrganismTaxon,Shewanella sediminis HAW-EB3,,GC_ID:11,Graph,Shewanella sediminis str. HAW-EB3|Shewanella sediminis strain HAW-EB3,,http://purl.obolibrary.org/obo/NCBITaxon_425104,,,,,,,2.0
NCBITaxon:426117,biolink:OrganismTaxon,Methylobacterium sp. 4-46,,GC_ID:11|PMID:22887658,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_426117,,,,,,,2.0
NCBITaxon:53461,biolink:OrganismTaxon,Nakamurella multipartita,,GC_ID:11|PMID:15143055,Graph,Microsphaera multipartita,,http://purl.obolibrary.org/obo/NCBITaxon_53461,,,,,,,2.0
NCBITaxon:565655,biolink:OrganismTaxon,Enterococcus casseliflavus EC20,,GC_ID:11|PMID:20207762,Graph,Enterococcus casseliflavus 899205|Enterococcus casseliflavus str. EC20|Enterococcus casseliflavus strain EC20,,http://purl.obolibrary.org/obo/NCBITaxon_565655,,,,,,,2.0
NCBITaxon:629268,biolink:OrganismTaxon,Pseudomonas syringae pv. aptata str. DSM 50252,,GC_ID:11,Graph,Pseudomonas syringae pv. aptata strain DSM 50252,,http://purl.obolibrary.org/obo/NCBITaxon_629268,,,,,,,2.0
NCBITaxon:696865,biolink:OrganismTaxon,Salmonella enterica subsp. enterica serovar Enteritidis str. SE10,,GC_ID:11,Graph,Salmonella enterica subsp. enterica serovar Enteritidis SE10|Salmonella enterica subsp. enterica serovar Enteritidis strain SE10,,http://purl.obolibrary.org/obo/NCBITaxon_696865,,,,,,,2.0
NCBITaxon:702984,biolink:OrganismTaxon,Salmonella enterica subsp. enterica serovar Paratyphi B str. SARA61,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_702984,,,,,,,2.0
NCBITaxon:74311,biolink:OrganismTaxon,Brevundimonas bacteroides,,GC_ID:11|PMID:10425763|PMID:14220656,Graph,Caulobacter bacteroides,,http://purl.obolibrary.org/obo/NCBITaxon_74311,,,,,,,2.0
NCBITaxon:746707,biolink:OrganismTaxon,Mycobacterium tuberculosis LAM7,,GC_ID:11,Graph,Mycobacterium tuberculosis str. LAM7|Mycobacterium tuberculosis strain LAM7,,http://purl.obolibrary.org/obo/NCBITaxon_746707,,,,,,,2.0
NCBITaxon:76588,biolink:OrganismTaxon,Acidiphilium acidophilum,,GC_ID:11|PMID:234784|PMID:9828441,Graph,Acidiphilum acidophilum|Thiobacillus acidiphilus|Thiobacillus acidophilus,,http://purl.obolibrary.org/obo/NCBITaxon_76588,,,,,,,2.0
ENVO:00001998,biolink:OntologyClass,soil,"An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, interstitial gases, liquids, and a broad range of resident micro- and macroorganisms.",LTER:535|SPIRE:Soil|SWEETRealm:Soil|https://en.wikipedia.org/wiki/Soil,Graph,regolith,,http://purl.obolibrary.org/obo/ENVO_00001998,,,,,,EnvO-Lite-GSC,1.0
ENVO:00002001,biolink:OntologyClass,waste water,Water that has been adversely affected in quality by anthropogenic influence.,EcoLexicon:waste_water|SWEETRealm:Wastewater|https://en.wikipedia.org/wiki/Waste_water,Graph,,,http://purl.obolibrary.org/obo/ENVO_00002001,,,,,,EnvO-Lite-GSC,1.0
UBERON:0000468,biolink:AnatomicalEntity|biolink:EnvironmentalFeature,multicellular organism,Anatomical structure that is an individual member of a species and consists of more than one cell.,,Graph,Koerper|body|multi-cellular organism|organism|whole body|whole organism,,http://purl.obolibrary.org/obo/UBERON_0000468,,,,,,,1.0
strain:bacdive_169531,biolink:OrganismTaxon,Segatella copri,,,Graph,,,,,,,,,,2.0
medium:J22,biolink:ChemicalEntity,NUTRIENT AGAR NO. 2,,,Graph,,,,,,,,,,1.0
strain:bacdive_164851,biolink:OrganismTaxon,Xanthomonas,,,Graph,,,,,,,,,,2.0
strain:bacdive_165432,biolink:OrganismTaxon,Tsukamurella,,,Graph,,,,,,,,,,2.0
medium:J26,biolink:ChemicalEntity,R AGAR,,,Graph,,,,,,,,,,1.0
medium:J475,biolink:ChemicalEntity,TRYPTICASE SOY BROTH AGAR,,,Graph,,,,,,,,,,1.0
RHEA:12813,biolink:MolecularActivity,L-glutamate = D-glutamate,,,Graph,,,,,,,,,,2.0
RHEA:25154,biolink:MolecularActivity,3-phenylpyruvate + L-glutamate => L-phenylalanine + 2-oxoglutarate,,,Graph,,,,,,,,,,2.0
RHEA:33795,biolink:MolecularActivity,sucrose + H2O = beta-D-fructose + alpha-D-glucose,,,Graph,,,,,,,,,,2.0
RHEA:49144,biolink:MolecularActivity,"dTDP-4-amino-2,3,4,6-tetradeoxy-alpha-D-erythro-hexopyranose + 2-oxoglutarate = dTDP-4-dehydro-2,3,6-trideoxy-alpha-D-hexopyranose + L-glutamate",,,Graph,,,,,,,,,,2.0
RHEA:57928,biolink:MolecularActivity,"beta-D-GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)-di-trans,octa-cis-undecaprenyl diphosphate + L-glutamine + ATP + H2O = beta-D-GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-D-isoglutaminyl-L-Lys-D-Ala-D-Ala)-di-trans,octa-cis-undecaprenyl diphosphate + L-glutamate + ADP + phosphate + H(+)",,,Graph,,,,,,,,,,2.0
pathways:nitrate_reduction,biolink:BiologicalProcess,nitrate_reduction,,,Graph,,,,,,,,,,1.0
cell_shape:bacillus,biolink:PhenotypicQuality,bacillus,,,Graph,,,,,,,,,,1.0
cell_shape:coccobacillus,biolink:PhenotypicQuality,coccobacillus,,,Graph,,,,,,,,,,1.0
NCBITaxon:667585,biolink:OrganismTaxon,Burkholderia sp. JPY251,,,Graph,,,,,,,,,,2.0
gc:mid1,biolink:PhenotypicQuality,GC content 42.65% - 57.0%,,,Graph,,,,,,,,,,1.0
