subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	notes	verified_date	emit_predicate	emit_category
produces: azureomycin	produces: azureomycin	kgmicrobe.compound:azureomycin	azureomycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: avoparcin	produces: avoparcin	NCIT:C169798	avoparcin	NCIT	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative NCIT 2026-04-30 per MIM reconciliation	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: actinohivin	produces: actinohivin	kgmicrobe.compound:actinohivin	actinohivin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: dynemicin	produces: dynemicin	NCIT:C1928	dynemicin	NCIT	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative NCIT 2026-04-30 per MIM reconciliation	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: abyssomicin B	produces: abyssomicin b	kgmicrobe.compound:abyssomicin_b	abyssomicin B	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: abyssomicin G	produces: abyssomicin g	kgmicrobe.compound:abyssomicin_g	abyssomicin G	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: atrop-abyssomicin C	produces: atrop-abyssomicin c	kgmicrobe.compound:atrop_abyssomicin_c	atrop-abyssomicin C	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: abyssomicin H	produces: abyssomicin h	kgmicrobe.compound:abyssomicin_h	abyssomicin H	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: abyssomicin D	produces: abyssomicin d	mesh:C512805	abyssomicin D	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:abyssomicin_d; MIM authoritative mapping → mesh:C512805	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: actinotiocin	produces: actinotiocin	mesh:C006403	actinotiocin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:actinotiocin; MIM authoritative mapping → mesh:C006403	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: sporangiomycin	produces: sporangiomycin	mesh:C003339	sporangiomycin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:sporangiomycin; MIM authoritative mapping → mesh:C003339	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: chlororaphin	produces: chlororaphin	kgmicrobe.compound:chlororaphin	chlororaphin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: sarcidin	produces: sarcidin	kgmicrobe.compound:sarcidin	sarcidin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: achromoviromycin	produces: achromoviromycin	kgmicrobe.compound:achromoviromycin	achromoviromycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: primocarcin	produces: primocarcin	kgmicrobe.compound:primocarcin	primocarcin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: alanosine	produces: alanosine	CHEBI:221124	alanosine	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative CHEBI 2026-04-30 per MIM reconciliation	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: danomycin	produces: danomycin	kgmicrobe.compound:danomycin	danomycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: actinomycetin	produces: actinomycetin	kgmicrobe.compound:actinomycetin	actinomycetin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: champamycin B	produces: champamycin b	kgmicrobe.compound:champamycin_b	champamycin B	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: ascosin	produces: ascosin	kgmicrobe.compound:ascosin	ascosin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: limocrocin	produces: limocrocin	mesh:C079132	limocrocin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:limocrocin; MIM authoritative mapping → mesh:C079132	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: eurocidin	produces: eurocidin	kgmicrobe.compound:eurocidin	eurocidin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: pamamycin	produces: pamamycin	mesh:C024500	pamamycin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:pamamycin; MIM authoritative mapping → mesh:C024500	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: angustmycin	produces: angustmycin	CHEBI:8612	angustmycin	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative CHEBI 2026-04-30 per MIM reconciliation	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: camphomycin	produces: camphomycin	kgmicrobe.compound:camphomycin	camphomycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: cinerubin A	produces: cinerubin a	kgmicrobe.compound:cinerubin_a	cinerubin A	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: canarius	produces: canarius	kgmicrobe.compound:canarius	canarius	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: rhodomycin A	produces: rhodomycin a	mesh:C004977	rhodomycin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:rhodomycin_a; MIM authoritative mapping → mesh:C004977	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: durhamycin	produces: durhamycin	kgmicrobe.compound:durhamycin	durhamycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: angolamycin	produces: angolamycin	mesh:C002547	angolamycin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:angolamycin; MIM authoritative mapping → mesh:C002547	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: flavofungin	produces: flavofungin	mesh:C001897	flavofungin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:flavofungin; MIM authoritative mapping → mesh:C001897	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: glebomycin	produces: glebomycin	kgmicrobe.compound:glebomycin	glebomycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: 5,6-dihydro-5-azathymidine	produces: 5,6-dihydro-5-azathymidine	mesh:C014480	5,6-dihydro-5-azathymidine	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:dihydro_azathymidine; MIM authoritative mapping → mesh:C014480	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: bandamycin	produces: bandamycin	kgmicrobe.compound:bandamycin	bandamycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: minimycin	produces: minimycin	mesh:C002363	minimycin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:minimycin; MIM authoritative mapping → mesh:C002363	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: vulgamycin	produces: vulgamycin	kgmicrobe.compound:vulgamycin	vulgamycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: trans-styrylacetic acid	produces: trans-styrylacetic acid	kgmicrobe.compound:trans_styrylacetic_acid	trans-styrylacetic acid	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: phoslactomycin	produces: phoslactomycin	kgmicrobe.compound:phoslactomycin	phoslactomycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: amphotericin A	produces: amphotericin a	mesh:C041989	amphotericin A	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:amphotericin_a; MIM authoritative mapping → mesh:C041989	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: synergistin A	produces: synergistin a	mesh:C003372	synergistin A	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:synergistin_a; MIM authoritative mapping → mesh:C003372	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: staphylomycin M1	produces: staphylomycin m1	kgmicrobe.compound:staphylomycin_m1	staphylomycin M1	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: plicacetin	produces: plicacetin	mesh:C000633628	plicacetin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:plicacetin; MIM authoritative mapping → mesh:C000633628	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: pluramycin A	produces: pluramycin a	mesh:C003169	pluramycin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:pluramycin_a; MIM authoritative mapping → mesh:C003169	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: fradicin	produces: fradicin	mesh:C033989	fradicin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:fradicin; MIM authoritative mapping → mesh:C033989	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: rubradirin	produces: rubradirin	CHEBI:223718	rubradirin	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative CHEBI 2026-04-30 per MIM reconciliation	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: ardacin C	produces: ardacin c	kgmicrobe.compound:ardacin_c	ardacin C	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: ardacin A	produces: ardacin a	kgmicrobe.compound:ardacin_a	ardacin A	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: venturicidin B	produces: venturicidin b	mesh:C068160	venturicidin B	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:venturicidin_b; MIM authoritative mapping → mesh:C068160	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: cystargin	produces: cystargin	mesh:C058276	cystargin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:cystargin; MIM authoritative mapping → mesh:C058276	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: xanthocidin	produces: xanthocidin	kgmicrobe.compound:xanthocidin	xanthocidin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: transvalencin A	produces: transvalencin a	mesh:C498222	transvalencin A	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:transvalencin_a; MIM authoritative mapping → mesh:C498222	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: 7-Hydro-8-methylpteroylglutamylglutamic acid	produces: 7-hydro-8-methylpteroylglutamylglutamic acid	mesh:C052093	7-hydro-8-methylpteroylglutamylglutamic acid	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:hydro_methylpteroylglutamylglutamic_acid; MIM authoritative mapping → mesh:C052093	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: bacteriocin ISK-1	produces: bacteriocin isk-1	kgmicrobe.compound:bacteriocin_isk_1	bacteriocin ISK-1	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: phyllomycin	produces: phyllomycin	kgmicrobe.compound:phyllomycin	phyllomycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: grisamine	produces: grisamine	kgmicrobe.compound:grisamine	grisamine	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: carcinomycin	produces: carcinomycin	kgmicrobe.compound:carcinomycin	carcinomycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: exfoliatin	produces: exfoliatin	kgmicrobe.compound:exfoliatin	exfoliatin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: tertiomycin B	produces: tertiomycin b	kgmicrobe.compound:tertiomycin_b	tertiomycin B	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: tertiomycin A	produces: tertiomycin a	kgmicrobe.compound:tertiomycin_a	tertiomycin A	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: congocidin	produces: congocidin	kgmicrobe.compound:congocidin	congocidin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: ketomycin	produces: ketomycin	mesh:C008231	ketomycin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:ketomycin; MIM authoritative mapping → mesh:C008231	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: actinomycin A	produces: actinomycin a	kgmicrobe.compound:actinomycin_a	actinomycin A	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: flavensomycin	produces: flavensomycin	kgmicrobe.compound:flavensomycin	flavensomycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: cellostatin	produces: cellostatin	kgmicrobe.compound:cellostatin	cellostatin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: tuberactinamine A	produces: tuberactinamine a	mesh:C108556	tuberactinamine A	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:tuberactinamine_a; MIM authoritative mapping → mesh:C108556	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: azacolutin	produces: azacolutin	kgmicrobe.compound:azacolutin	azacolutin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: tuberactinomycin	produces: tuberactinomycin	mesh:C015563	tuberactinomycin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:tuberactinomycin; MIM authoritative mapping → mesh:C015563	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: collinomycin	produces: collinomycin	kgmicrobe.compound:collinomycin	collinomycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: etamycin	produces: etamycin	mesh:C004910	etamycin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:etamycin; MIM authoritative mapping → mesh:C004910	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: destomycin	produces: destomycin	kgmicrobe.compound:destomycin	destomycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: candimycin	produces: candimycin	kgmicrobe.compound:candimycin	candimycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: caryomycin	produces: caryomycin	kgmicrobe.compound:caryomycin	caryomycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: ferroverdin	produces: ferroverdin	CHEBI:219729	ferroverdin	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative CHEBI 2026-04-30 per MIM reconciliation	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: racemomycin E	produces: racemomycin e	mesh:C019594	racemomycin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:racemomycin_e; MIM authoritative mapping → mesh:C019594	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: alboverticillin	produces: alboverticillin	kgmicrobe.compound:alboverticillin	alboverticillin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: adenomycin	produces: adenomycin	NCIT:C221830	adenomycin	NCIT	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative NCIT 2026-04-30 per MIM reconciliation	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: griseolutein A	produces: griseolutein a	mesh:C018306	griseolutein A	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:griseolutein_a; MIM authoritative mapping → mesh:C018306	2026-05-03	METPO:2000202	biolink:ChemicalEntity
