trait_pattern	chemical_name	ontology_id	ontology_name	predicate	category	notes
produces: bacteriocin ISK-1	bacteriocin ISK-1	kgmicrobe.compound:bacteriocin_isk_1	bacteriocin ISK-1	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: phyllomycin	phyllomycin	kgmicrobe.compound:phyllomycin	phyllomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: grisamine	grisamine	kgmicrobe.compound:grisamine	grisamine	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: carcinomycin	carcinomycin	kgmicrobe.compound:carcinomycin	carcinomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: exfoliatin	exfoliatin	kgmicrobe.compound:exfoliatin	exfoliatin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: tertiomycin B	tertiomycin B	kgmicrobe.compound:tertiomycin_b	tertiomycin B	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: tertiomycin A	tertiomycin A	kgmicrobe.compound:tertiomycin_a	tertiomycin A	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: congocidin	congocidin	kgmicrobe.compound:congocidin	congocidin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: ketomycin	ketomycin	kgmicrobe.compound:ketomycin	ketomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: actinomycin A	actinomycin A	kgmicrobe.compound:actinomycin_a	actinomycin A	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: flavensomycin	flavensomycin	kgmicrobe.compound:flavensomycin	flavensomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: cellostatin	cellostatin	kgmicrobe.compound:cellostatin	cellostatin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: tuberactinamine A	tuberactinamine A	kgmicrobe.compound:tuberactinamine_a	tuberactinamine A	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: azacolutin	azacolutin	kgmicrobe.compound:azacolutin	azacolutin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: tuberactinomycin	tuberactinomycin	kgmicrobe.compound:tuberactinomycin	tuberactinomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: collinomycin	collinomycin	kgmicrobe.compound:collinomycin	collinomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: etamycin	etamycin	kgmicrobe.compound:etamycin	etamycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: destomycin	destomycin	kgmicrobe.compound:destomycin	destomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: candimycin	candimycin	kgmicrobe.compound:candimycin	candimycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: caryomycin	caryomycin	kgmicrobe.compound:caryomycin	caryomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: ferroverdin	ferroverdin	kgmicrobe.compound:ferroverdin	ferroverdin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: racemomycin E	racemomycin E	kgmicrobe.compound:racemomycin_e	racemomycin E	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: alboverticillin	alboverticillin	kgmicrobe.compound:alboverticillin	alboverticillin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: adenomycin	adenomycin	kgmicrobe.compound:adenomycin	adenomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: griseolutein A	griseolutein A	kgmicrobe.compound:griseolutein_a	griseolutein A	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: griseolutein B	griseolutein B	kgmicrobe.compound:griseolutein_b	griseolutein B	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: viridogrisein	viridogrisein	kgmicrobe.compound:viridogrisein	viridogrisein	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: noformicin	noformicin	kgmicrobe.compound:noformicin	noformicin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: danubomycin	danubomycin	kgmicrobe.compound:danubomycin	danubomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: cladomycin	cladomycin	kgmicrobe.compound:cladomycin	cladomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: grasseriomycin	grasseriomycin	kgmicrobe.compound:grasseriomycin	grasseriomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: levorin	levorin	kgmicrobe.compound:levorin	levorin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: bafilomycin	bafilomycin	kgmicrobe.compound:bafilomycin	bafilomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: lydimycin	lydimycin	kgmicrobe.compound:lydimycin	lydimycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: chaninin	chaninin	kgmicrobe.compound:chaninin	chaninin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: miharamycin A	miharamycin A	kgmicrobe.compound:miharamycin_a	miharamycin A	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: stallimycin	stallimycin	kgmicrobe.compound:stallimycin	stallimycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: cytovirin	cytovirin	kgmicrobe.compound:cytovirin	cytovirin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: pactamycin	pactamycin	kgmicrobe.compound:pactamycin	pactamycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: etabetacin	etabetacin	kgmicrobe.compound:etabetacin	etabetacin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: cephamycin A	cephamycin A	kgmicrobe.compound:cephamycin_a	cephamycin A	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: plumbemycin A	plumbemycin A	kgmicrobe.compound:plumbemycin_a	plumbemycin A	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: plumbemycin B	plumbemycin B	kgmicrobe.compound:plumbemycin_b	plumbemycin B	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: O-carbamyl-D-serine	O-carbamyl-D-serine	kgmicrobe.compound:o_carbamyl_d_serine	O-carbamyl-D-serine	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: steffimycin	steffimycin	kgmicrobe.compound:steffimycin	steffimycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: beta-Lipomycin	beta-Lipomycin	kgmicrobe.compound:beta_lipomycin	beta-Lipomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: kanchanomycin	kanchanomycin	kgmicrobe.compound:kanchanomycin	kanchanomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: (E)-4-Aminostyryl acetate	(E)-4-Aminostyryl acetate	kgmicrobe.compound:e_4_aminostyryl_acetate	(E)-4-Aminostyryl acetate	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: hortesin	hortesin	kgmicrobe.compound:hortesin	hortesin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: piericidin	piericidin	kgmicrobe.compound:piericidin	piericidin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: casein	casein	FOODON:03420180	casein	METPO:2000202	biolink:Food	Producing casein protein; FOODON:03420180
