placeholder_curie	category	label	source_columns	occurrences	target_curie	target_label	mapping_status	curator_notes
kgmicrobe.trait:0_10	biolink:PhenotypicQuality	0-10	BacDive_Salt_concentration|BacDive_Temperature_for_growth	351			UNMAPPED	
kgmicrobe.trait:ovoid_shaped	biolink:PhenotypicQuality	ovoid-shaped	BacDive_Cell_shape	350			UNMAPPED	
kgmicrobe.trait:0_8	biolink:PhenotypicQuality	0.8	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	349			UNMAPPED	
kgmicrobe.trait:1_day	biolink:PhenotypicQuality	1 day	BacDive_Incubation_period	337			UNMAPPED	
kgmicrobe.trait:35	biolink:PhenotypicQuality	35	BacDive_Temperature_for_growth	336			UNMAPPED	
kgmicrobe.pathway:sulfate_respiration	biolink:BiologicalProcess	sulfate_respiration	faprotax:type_of_metabolism	334			UNMAPPED	
kgmicrobe.trait:rifampicin	biolink:PhenotypicQuality	rifampicin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	334			UNMAPPED	
kgmicrobe.trait:d_arabinose	biolink:PhenotypicQuality	D-arabinose	BacDive_Metabolite_utilization	332			UNMAPPED	
kgmicrobe.trait:d_arabitol	biolink:PhenotypicQuality	D-arabitol	BacDive_Metabolite_utilization	331			UNMAPPED	
kgmicrobe.trait:cytochrome_c_oxidase	biolink:PhenotypicQuality	cytochrome-c oxidase	BacDive_Enzyme_activity	329			UNMAPPED	
kgmicrobe.trait:ribose	biolink:PhenotypicQuality	ribose	BacDive_Metabolite_utilization	325			UNMAPPED	
kgmicrobe.trait:asparagine	biolink:PhenotypicQuality	asparagine	BacDive_Metabolite_utilization	320			UNMAPPED	
kgmicrobe.trait:nitrite	biolink:PhenotypicQuality	nitrite	BacDive_Metabolite_production|BacDive_Metabolite_utilization	319			UNMAPPED	
kgmicrobe.trait:tween_80	biolink:PhenotypicQuality	tween 80	BacDive_Antibiotic_resistance|BacDive_Metabolite_utilization	319			UNMAPPED	
kgmicrobe.trait:25_37	biolink:PhenotypicQuality	25-37	BacDive_Temperature_for_growth	317			UNMAPPED	
kgmicrobe.pathway:methanogenesis	biolink:BiologicalProcess	methanogenesis	bergey:type_of_metabolism|faprotax:type_of_metabolism|literature:type_of_metabolism	315			UNMAPPED	
kgmicrobe.trait:mud_sludge	biolink:PhenotypicQuality	#Mud (Sludge)	BacDive_Isolation_category_3	312			UNMAPPED	
kgmicrobe.trait:gliding	biolink:PhenotypicQuality	gliding	BacDive_Flagellum_arrangement	305			UNMAPPED	
kgmicrobe.trait:rhizosphere	biolink:PhenotypicQuality	#Rhizosphere	BacDive_Isolation_category_3	304			UNMAPPED	
kgmicrobe.trait:fucose	biolink:PhenotypicQuality	fucose	BacDive_Metabolite_utilization	302			UNMAPPED	
kgmicrobe.trait:3_7_days	biolink:PhenotypicQuality	3-7 days	BacDive_Incubation_period	298			UNMAPPED	
kgmicrobe.trait:thermal_spring	biolink:PhenotypicQuality	#Thermal spring	BacDive_Isolation_category_3	298			UNMAPPED	
kgmicrobe.trait:0_7	biolink:PhenotypicQuality	0-7	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	296			UNMAPPED	
kgmicrobe.trait:ornithine	biolink:PhenotypicQuality	ornithine	BacDive_Metabolite_utilization	295			UNMAPPED	
kgmicrobe.pathway:human_pathogens_all	biolink:BiologicalProcess	human_pathogens_all	faprotax:type_of_metabolism	291			UNMAPPED	
kgmicrobe.pathway:dark_hydrogen_oxidation	biolink:BiologicalProcess	dark_hydrogen_oxidation	faprotax:type_of_metabolism	288			UNMAPPED	
kgmicrobe.trait:5_dehydro_d_gluconate	biolink:PhenotypicQuality	5-dehydro-D-gluconate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	288			UNMAPPED	
kgmicrobe.trait:l_rhamnose	biolink:PhenotypicQuality	L-rhamnose	BacDive_Metabolite_utilization	287			UNMAPPED	
kgmicrobe.trait:lysine	biolink:PhenotypicQuality	lysine	BacDive_Metabolite_production|BacDive_Metabolite_utilization	285			UNMAPPED	
kgmicrobe.trait:lincomycin	biolink:PhenotypicQuality	lincomycin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	281			UNMAPPED	
kgmicrobe.trait:7	biolink:PhenotypicQuality	7	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration|BacDive_Temperature_for_growth|BacDive_pH_for_growth	280			UNMAPPED	
kgmicrobe.trait:gentiobiose	biolink:PhenotypicQuality	gentiobiose	BacDive_Metabolite_utilization	279			UNMAPPED	
kgmicrobe.trait:field	biolink:PhenotypicQuality	#Field	BacDive_Isolation_category_3	275			UNMAPPED	
kgmicrobe.trait:succinate	biolink:PhenotypicQuality	succinate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	273			UNMAPPED	
kgmicrobe.trait:polymyxin_b	biolink:PhenotypicQuality	polymyxin b	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	272			UNMAPPED	
kgmicrobe.trait:starch	biolink:PhenotypicQuality	starch	BacDive_Metabolite_production|BacDive_Metabolite_utilization	271			UNMAPPED	
kgmicrobe.trait:arthropoda	biolink:PhenotypicQuality	#Arthropoda	BacDive_Isolation_category_2	270			UNMAPPED	
kgmicrobe.trait:carbenicillin	biolink:PhenotypicQuality	carbenicillin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	269			UNMAPPED	
kgmicrobe.trait:salicin	biolink:PhenotypicQuality	salicin	BacDive_Metabolite_utilization	265			UNMAPPED	
kgmicrobe.trait:forest	biolink:PhenotypicQuality	#Forest	BacDive_Isolation_category_3	259			UNMAPPED	
kgmicrobe.trait:formate	biolink:PhenotypicQuality	formate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	257			UNMAPPED	
kgmicrobe.trait:contamination	biolink:PhenotypicQuality	#Contamination	BacDive_Isolation_category_2	256			UNMAPPED	
kgmicrobe.trait:2_oxoglutarate	biolink:PhenotypicQuality	2-oxoglutarate	BacDive_Metabolite_utilization	255			UNMAPPED	
kgmicrobe.trait:built_environment	biolink:PhenotypicQuality	#Built environment	BacDive_Isolation_category_2	251			UNMAPPED	
kgmicrobe.trait:vancomycin	biolink:PhenotypicQuality	vancomycin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	251			UNMAPPED	
kgmicrobe.trait:0_9	biolink:PhenotypicQuality	0.9	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	249			UNMAPPED	
kgmicrobe.trait:25_41	biolink:PhenotypicQuality	25-41	BacDive_Temperature_for_growth	243			UNMAPPED	
kgmicrobe.trait:alanine_arylamidase	biolink:PhenotypicQuality	alanine arylamidase	BacDive_Enzyme_activity	243			UNMAPPED	
kgmicrobe.trait:root_rhizome	biolink:PhenotypicQuality	#Root (Rhizome)	BacDive_Isolation_category_3	242			UNMAPPED	
kgmicrobe.trait:monotrichous	biolink:PhenotypicQuality	monotrichous	BacDive_Flagellum_arrangement	234			UNMAPPED	
kgmicrobe.trait:alcohol_dehydrogenase	biolink:PhenotypicQuality	alcohol dehydrogenase	BacDive_Enzyme_activity	232			UNMAPPED	
kgmicrobe.trait:tween_20	biolink:PhenotypicQuality	tween 20	BacDive_Metabolite_production|BacDive_Metabolite_utilization	232			UNMAPPED	
kgmicrobe.trait:disease	biolink:PhenotypicQuality	#Disease	BacDive_Isolation_category_2	231			UNMAPPED	
kgmicrobe.trait:lysine_decarboxylase	biolink:PhenotypicQuality	lysine decarboxylase	BacDive_Enzyme_activity	231			UNMAPPED	
kgmicrobe.trait:10_40	biolink:PhenotypicQuality	10-40	BacDive_Cell_length|BacDive_Temperature_for_growth	227			UNMAPPED	
kgmicrobe.trait:oval_shaped	biolink:PhenotypicQuality	oval-shaped	BacDive_Cell_shape	224			UNMAPPED	
kgmicrobe.trait:tween_40	biolink:PhenotypicQuality	tween 40	BacDive_Metabolite_utilization	223			UNMAPPED	
kgmicrobe.trait:25_30	biolink:PhenotypicQuality	25-30	BacDive_Temperature_for_growth	222			UNMAPPED	
kgmicrobe.trait:10_30	biolink:PhenotypicQuality	10-30	BacDive_Salt_concentration|BacDive_Temperature_for_growth	221			UNMAPPED	
kgmicrobe.trait:2_3	biolink:PhenotypicQuality	2-3	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration	220			UNMAPPED	
kgmicrobe.trait:geologic	biolink:PhenotypicQuality	#Geologic	BacDive_Isolation_category_3	220			UNMAPPED	
kgmicrobe.trait:peritrichous	biolink:PhenotypicQuality	peritrichous	BacDive_Flagellum_arrangement	220			UNMAPPED	
kgmicrobe.trait:3_5	biolink:PhenotypicQuality	3-5	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration|BacDive_pH_for_growth	218			UNMAPPED	
kgmicrobe.trait:ciprofloxacin	biolink:PhenotypicQuality	ciprofloxacin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	218			UNMAPPED	
kgmicrobe.trait:ethanol	biolink:PhenotypicQuality	ethanol	BacDive_Metabolite_production|BacDive_Metabolite_utilization	218			UNMAPPED	
kgmicrobe.trait:ornithine_decarboxylase	biolink:PhenotypicQuality	ornithine decarboxylase	BacDive_Enzyme_activity	218			UNMAPPED	
kgmicrobe.pathway:methylotrophy	biolink:BiologicalProcess	methylotrophy	faprotax:type_of_metabolism	217			UNMAPPED	
kgmicrobe.trait:06_09	biolink:PhenotypicQuality	06-09	BacDive_pH_for_growth	216			UNMAPPED	
kgmicrobe.trait:alpha_cyclodextrin	biolink:PhenotypicQuality	alpha-cyclodextrin	BacDive_Metabolite_utilization	216			UNMAPPED	
kgmicrobe.trait:20_37	biolink:PhenotypicQuality	20-37	BacDive_Temperature_for_growth	215			UNMAPPED	
kgmicrobe.trait:15_40	biolink:PhenotypicQuality	15-40	BacDive_Temperature_for_growth	212			UNMAPPED	
kgmicrobe.trait:6_0_9_0	biolink:PhenotypicQuality	6.0-9.0	BacDive_pH_for_growth	211			UNMAPPED	
kgmicrobe.trait:0_75	biolink:PhenotypicQuality	0.75	BacDive_Cell_length|BacDive_Cell_width|BacDive_Salt_concentration	210			UNMAPPED	
kgmicrobe.trait:biodegradation	biolink:PhenotypicQuality	#Biodegradation	BacDive_Isolation_category_2	210			UNMAPPED	
kgmicrobe.trait:sorbitol	biolink:PhenotypicQuality	sorbitol	BacDive_Metabolite_utilization	210			UNMAPPED	
kgmicrobe.trait:pond_small	biolink:PhenotypicQuality	#Pond (small)	BacDive_Isolation_category_3	208			UNMAPPED	
kgmicrobe.trait:acetoacetate	biolink:PhenotypicQuality	acetoacetate	BacDive_Metabolite_utilization	206			UNMAPPED	
kgmicrobe.trait:propionate	biolink:PhenotypicQuality	propionate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	205			UNMAPPED	
kgmicrobe.trait:river_creek	biolink:PhenotypicQuality	#River (Creek)	BacDive_Isolation_category_3	204			UNMAPPED	
kgmicrobe.trait:anoxic_anaerobic	biolink:PhenotypicQuality	#Anoxic (anaerobic)	BacDive_Isolation_category_2	202			UNMAPPED	
kgmicrobe.trait:insecta	biolink:PhenotypicQuality	#Insecta	BacDive_Isolation_category_3	202			UNMAPPED	
kgmicrobe.trait:penicillin	biolink:PhenotypicQuality	penicillin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	201			UNMAPPED	
kgmicrobe.pathway:xylanolysis	biolink:BiologicalProcess	xylanolysis	faprotax:type_of_metabolism	200			UNMAPPED	
kgmicrobe.trait:bovinae_cow	biolink:PhenotypicQuality	#Bovinae (Cow	BacDive_Isolation_category_3	200			UNMAPPED	
kgmicrobe.trait:cattle	biolink:PhenotypicQuality	Cattle)	BacDive_Isolation_category_3	200			UNMAPPED	
kgmicrobe.trait:d_fucose	biolink:PhenotypicQuality	D-fucose	BacDive_Metabolite_utilization	200			UNMAPPED	
kgmicrobe.trait:tidal_flat	biolink:PhenotypicQuality	#Tidal flat	BacDive_Isolation_category_3	199			UNMAPPED	
kgmicrobe.trait:15_30	biolink:PhenotypicQuality	15-30	BacDive_Salt_concentration|BacDive_Temperature_for_growth	196			UNMAPPED	
kgmicrobe.trait:alkaline	biolink:PhenotypicQuality	#Alkaline	BacDive_Isolation_category_2	195			UNMAPPED	
kgmicrobe.trait:0_3_0_5	biolink:PhenotypicQuality	0.3-0.5	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	193			UNMAPPED	
kgmicrobe.trait:55	biolink:PhenotypicQuality	55	BacDive_Temperature_for_growth	193			UNMAPPED	
kgmicrobe.trait:0_4_0_6	biolink:PhenotypicQuality	0.4-0.6	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	192			UNMAPPED	
kgmicrobe.trait:amikacin	biolink:PhenotypicQuality	Amikacin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	192			UNMAPPED	
kgmicrobe.trait:coast	biolink:PhenotypicQuality	#Coast	BacDive_Isolation_category_3	192			UNMAPPED	
kgmicrobe.trait:5_days	biolink:PhenotypicQuality	5 days	BacDive_Incubation_period	191			UNMAPPED	
kgmicrobe.trait:shrub_scrub	biolink:PhenotypicQuality	#Shrub (Scrub)	BacDive_Isolation_category_3	191			UNMAPPED	
kgmicrobe.trait:6_5	biolink:PhenotypicQuality	6.5	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_pH_for_growth	190			UNMAPPED	
kgmicrobe.trait:obligate_anaerobe	biolink:PhenotypicQuality	obligate anaerobe	BacDive_Oxygen_tolerance	188			UNMAPPED	
kgmicrobe.trait:pyrazinamidase	biolink:PhenotypicQuality	pyrazinamidase	BacDive_Enzyme_activity	188			UNMAPPED	
kgmicrobe.trait:d_tagatose	biolink:PhenotypicQuality	D-tagatose	BacDive_Metabolite_utilization	185			UNMAPPED	
kgmicrobe.trait:wastewater	biolink:PhenotypicQuality	#Wastewater	BacDive_Isolation_category_3	184			UNMAPPED	
kgmicrobe.trait:0_5_1_0	biolink:PhenotypicQuality	0.5-1.0	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	182			UNMAPPED	
kgmicrobe.trait:10_45	biolink:PhenotypicQuality	10-45	BacDive_Temperature_for_growth	179			UNMAPPED	
kgmicrobe.trait:pyrrolidonyl_arylamidase	biolink:PhenotypicQuality	pyrrolidonyl arylamidase	BacDive_Enzyme_activity	178			UNMAPPED	
kgmicrobe.pathway:sulfur_respiration	biolink:BiologicalProcess	sulfur_respiration	faprotax:type_of_metabolism	177			UNMAPPED	
kgmicrobe.trait:proline	biolink:PhenotypicQuality	proline	BacDive_Metabolite_production|BacDive_Metabolite_utilization	175			UNMAPPED	
kgmicrobe.trait:tryptophan_deaminase	biolink:PhenotypicQuality	tryptophan deaminase	BacDive_Enzyme_activity	175			UNMAPPED	
kgmicrobe.trait:0_4_0_5	biolink:PhenotypicQuality	0.4-0.5	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	172			UNMAPPED	
kgmicrobe.trait:1_0_2_0	biolink:PhenotypicQuality	1.0-2.0	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	171			UNMAPPED	
kgmicrobe.pathway:intracellular_parasites	biolink:BiologicalProcess	intracellular_parasites	faprotax:type_of_metabolism	169			UNMAPPED	
kgmicrobe.trait:06_08	biolink:PhenotypicQuality	06-08	BacDive_pH_for_growth	169			UNMAPPED	
kgmicrobe.trait:0_5_0_7	biolink:PhenotypicQuality	0.5-0.7	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	169			UNMAPPED	
kgmicrobe.trait:15_45	biolink:PhenotypicQuality	15-45	BacDive_Temperature_for_growth	169			UNMAPPED	
kgmicrobe.trait:histidine	biolink:PhenotypicQuality	histidine	BacDive_Metabolite_utilization	169			UNMAPPED	
kgmicrobe.trait:birds	biolink:PhenotypicQuality	#Birds	BacDive_Isolation_category_2	168			UNMAPPED	
kgmicrobe.trait:6_0_8_0	biolink:PhenotypicQuality	6.0-8.0	BacDive_Salt_concentration|BacDive_pH_for_growth	167			UNMAPPED	
kgmicrobe.trait:fishes	biolink:PhenotypicQuality	#Fishes	BacDive_Isolation_category_2	167			UNMAPPED	
kgmicrobe.trait:sandy	biolink:PhenotypicQuality	#Sandy	BacDive_Isolation_category_3	167			UNMAPPED	
kgmicrobe.trait:1_3	biolink:PhenotypicQuality	1-3	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration|BacDive_pH_for_growth	166			UNMAPPED	
kgmicrobe.trait:bromosuccinate	biolink:PhenotypicQuality	bromosuccinate	BacDive_Metabolite_utilization	165			UNMAPPED	
kgmicrobe.trait:lecithinase	biolink:PhenotypicQuality	lecithinase	BacDive_Enzyme_activity	165			UNMAPPED	
kgmicrobe.trait:2_oxopentanoate	biolink:PhenotypicQuality	2-oxopentanoate	BacDive_Metabolite_utilization	164			UNMAPPED	
kgmicrobe.trait:esculin_ferric_citrate	biolink:PhenotypicQuality	esculin ferric citrate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	164			UNMAPPED	
kgmicrobe.trait:22	biolink:PhenotypicQuality	22	BacDive_Cell_length|BacDive_Temperature_for_growth	163			UNMAPPED	
kgmicrobe.trait:0_45	biolink:PhenotypicQuality	0.45	BacDive_Cell_length|BacDive_Cell_width|BacDive_Salt_concentration|BacDive_Temperature_for_growth	160			UNMAPPED	
kgmicrobe.trait:15	biolink:PhenotypicQuality	15	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_Temperature_for_growth	160			UNMAPPED	
kgmicrobe.trait:50	biolink:PhenotypicQuality	50	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_Temperature_for_growth	160			UNMAPPED	
kgmicrobe.trait:activated_sludge	biolink:PhenotypicQuality	#Activated sludge	BacDive_Isolation_category_3	160			UNMAPPED	
kgmicrobe.trait:0_5_0_8	biolink:PhenotypicQuality	0.5-0.8	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	159			UNMAPPED	
kgmicrobe.trait:6_9	biolink:PhenotypicQuality	6-9	BacDive_Temperature_for_growth|BacDive_pH_for_growth	159			UNMAPPED	
kgmicrobe.trait:d_lyxose	biolink:PhenotypicQuality	D-lyxose	BacDive_Metabolite_utilization	159			UNMAPPED	
kgmicrobe.trait:05_09	biolink:PhenotypicQuality	05-09	BacDive_Salt_concentration|BacDive_pH_for_growth	158			UNMAPPED	
kgmicrobe.trait:blood	biolink:PhenotypicQuality	#Blood	BacDive_Isolation_category_3	158			UNMAPPED	
kgmicrobe.trait:fermented	biolink:PhenotypicQuality	#Fermented	BacDive_Isolation_category_3	158			UNMAPPED	
kgmicrobe.trait:glycine	biolink:PhenotypicQuality	glycine	BacDive_Metabolite_utilization	156			UNMAPPED	
kgmicrobe.trait:l_glutamate	biolink:PhenotypicQuality	L-glutamate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	156			UNMAPPED	
kgmicrobe.trait:suidae_pig	biolink:PhenotypicQuality	#Suidae (Pig	BacDive_Isolation_category_3	156			UNMAPPED	
kgmicrobe.trait:swine	biolink:PhenotypicQuality	Swine)	BacDive_Isolation_category_3	156			UNMAPPED	
kgmicrobe.trait:hydrothermal_vent	biolink:PhenotypicQuality	#Hydrothermal vent	BacDive_Isolation_category_3	155			UNMAPPED	
kgmicrobe.trait:laboratory	biolink:PhenotypicQuality	#Laboratory	BacDive_Isolation_category_2	154			UNMAPPED	
kgmicrobe.pathway:cellulolysis	biolink:BiologicalProcess	cellulolysis	faprotax:type_of_metabolism	152			UNMAPPED	
kgmicrobe.trait:20_40	biolink:PhenotypicQuality	20-40	BacDive_Temperature_for_growth	152			UNMAPPED	
kgmicrobe.trait:2_dehydro_d_gluconate	biolink:PhenotypicQuality	2-dehydro-D-gluconate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	152			UNMAPPED	
kgmicrobe.pathway:mammal_gut	biolink:BiologicalProcess	mammal_gut	faprotax:type_of_metabolism	151			UNMAPPED	
kgmicrobe.trait:l_arginine_arylamidase	biolink:PhenotypicQuality	L-arginine arylamidase	BacDive_Enzyme_activity	151			UNMAPPED	
kgmicrobe.pathway:human_gut	biolink:BiologicalProcess	human_gut	faprotax:type_of_metabolism	150			UNMAPPED	
kgmicrobe.trait:0_5_1	biolink:PhenotypicQuality	0.5-1	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	150			UNMAPPED	
kgmicrobe.trait:0_6_0_8	biolink:PhenotypicQuality	0.6-0.8	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	150			UNMAPPED	
kgmicrobe.trait:2_hydroxybutyrate	biolink:PhenotypicQuality	2-hydroxybutyrate	BacDive_Metabolite_utilization	150			UNMAPPED	
kgmicrobe.trait:algae	biolink:PhenotypicQuality	#Algae	BacDive_Isolation_category_2	150			UNMAPPED	
kgmicrobe.trait:leucyl_glycin_arylamidase	biolink:PhenotypicQuality	leucyl glycin arylamidase	BacDive_Enzyme_activity	150			UNMAPPED	
kgmicrobe.trait:45	biolink:PhenotypicQuality	45	BacDive_Temperature_for_growth	149			UNMAPPED	
kgmicrobe.trait:2_oxobutanoate	biolink:PhenotypicQuality	2-oxobutanoate	BacDive_Metabolite_utilization	146			UNMAPPED	
kgmicrobe.trait:l_alanine	biolink:PhenotypicQuality	L-alanine	BacDive_Metabolite_utilization	146			UNMAPPED	
kgmicrobe.pathway:plant_pathogen	biolink:BiologicalProcess	plant_pathogen	faprotax:type_of_metabolism	145			UNMAPPED	
kgmicrobe.trait:tryptophan	biolink:PhenotypicQuality	tryptophan	BacDive_Metabolite_production|BacDive_Metabolite_utilization	145			UNMAPPED	
kgmicrobe.pathway:hydrogenotrophic_methanogenesis	biolink:BiologicalProcess	hydrogenotrophic_methanogenesis	faprotax:type_of_metabolism	144			UNMAPPED	
kgmicrobe.trait:0_65	biolink:PhenotypicQuality	0.65	BacDive_Cell_length|BacDive_Cell_width	144			UNMAPPED	
kgmicrobe.trait:climate	biolink:PhenotypicQuality	#Climate	BacDive_Isolation_category_1	144			UNMAPPED	
kgmicrobe.trait:microbial_community	biolink:PhenotypicQuality	#Microbial community	BacDive_Isolation_category_2	144			UNMAPPED	
kgmicrobe.trait:d_gluconate	biolink:PhenotypicQuality	D-gluconate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	143			UNMAPPED	
kgmicrobe.trait:05_10	biolink:PhenotypicQuality	05-10	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_pH_for_growth	141			UNMAPPED	
kgmicrobe.trait:sterilized_plant_part	biolink:PhenotypicQuality	#Sterilized plant part	BacDive_Isolation_category_3	141			UNMAPPED	
kgmicrobe.pathway:methanogenesis_by_co2_reduction_with_h2	biolink:BiologicalProcess	methanogenesis_by_CO2_reduction_with_H2	faprotax:type_of_metabolism	140			UNMAPPED	
kgmicrobe.pathway:nitrite_respiration	biolink:BiologicalProcess	nitrite_respiration	faprotax:type_of_metabolism	140			UNMAPPED	
kgmicrobe.trait:l_arabitol	biolink:PhenotypicQuality	L-arabitol	BacDive_Metabolite_utilization	139			UNMAPPED	
kgmicrobe.trait:0_5_0_6	biolink:PhenotypicQuality	0.5-0.6	BacDive_Cell_length|BacDive_Cell_width	138			UNMAPPED	
kgmicrobe.trait:bacitracin	biolink:PhenotypicQuality	bacitracin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	138			UNMAPPED	
kgmicrobe.trait:surface_water	biolink:PhenotypicQuality	#Surface water	BacDive_Isolation_category_3	138			UNMAPPED	
kgmicrobe.trait:6_8	biolink:PhenotypicQuality	6-8	BacDive_Salt_concentration|BacDive_pH_for_growth	137			UNMAPPED	
kgmicrobe.trait:dna	biolink:PhenotypicQuality	dna	BacDive_Metabolite_utilization	137			UNMAPPED	
kgmicrobe.trait:lipase	biolink:PhenotypicQuality	lipase	BacDive_Enzyme_activity	137			UNMAPPED	
kgmicrobe.pathway:dark_oxidation_of_sulfur_compounds	biolink:BiologicalProcess	dark_oxidation_of_sulfur_compounds	faprotax:type_of_metabolism	136			UNMAPPED	
kgmicrobe.trait:root_nodule	biolink:PhenotypicQuality	#Root nodule	BacDive_Isolation_category_3	136			UNMAPPED	
kgmicrobe.trait:22_37	biolink:PhenotypicQuality	22-37	BacDive_Temperature_for_growth	135			UNMAPPED	
kgmicrobe.trait:d_galacturonic_acid	biolink:PhenotypicQuality	D-galacturonic acid	BacDive_Metabolite_utilization	135			UNMAPPED	
kgmicrobe.trait:1_25	biolink:PhenotypicQuality	1.25	BacDive_Cell_length|BacDive_Cell_width|BacDive_Salt_concentration|BacDive_Temperature_for_growth	134			UNMAPPED	
kgmicrobe.trait:25_45	biolink:PhenotypicQuality	25-45	BacDive_Temperature_for_growth	134			UNMAPPED	
kgmicrobe.trait:5_0_9_0	biolink:PhenotypicQuality	5.0-9.0	BacDive_pH_for_growth	133			UNMAPPED	
kgmicrobe.trait:5_30	biolink:PhenotypicQuality	5-30	BacDive_Temperature_for_growth	133			UNMAPPED	
kgmicrobe.trait:amoxicillin	biolink:PhenotypicQuality	amoxicillin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	133			UNMAPPED	
kgmicrobe.trait:urogenital_tract	biolink:PhenotypicQuality	#Urogenital tract	BacDive_Isolation_category_2	133			UNMAPPED	
kgmicrobe.trait:inflammation	biolink:PhenotypicQuality	#Inflammation	BacDive_Isolation_category_2	131			UNMAPPED	
kgmicrobe.trait:malonate	biolink:PhenotypicQuality	malonate	BacDive_Metabolite_utilization	131			UNMAPPED	
kgmicrobe.trait:tween_esterase	biolink:PhenotypicQuality	tween esterase	BacDive_Enzyme_activity	131			UNMAPPED	
kgmicrobe.trait:0_0_5	biolink:PhenotypicQuality	0-0.5	BacDive_Salt_concentration	130			UNMAPPED	
kgmicrobe.trait:26	biolink:PhenotypicQuality	26	BacDive_Salt_concentration|BacDive_Temperature_for_growth	130			UNMAPPED	
kgmicrobe.trait:alanyl_phenylalanyl_proline_arylamidase	biolink:PhenotypicQuality	Alanyl-Phenylalanyl-Proline arylamidase	BacDive_Enzyme_activity	130			UNMAPPED	
kgmicrobe.trait:engineered_product	biolink:PhenotypicQuality	#Engineered product	BacDive_Isolation_category_3	130			UNMAPPED	
kgmicrobe.trait:mine	biolink:PhenotypicQuality	#Mine	BacDive_Isolation_category_3	130			UNMAPPED	
kgmicrobe.trait:0_35	biolink:PhenotypicQuality	0.35	BacDive_Cell_length|BacDive_Cell_width|BacDive_Salt_concentration|BacDive_Temperature_for_growth	129			UNMAPPED	
kgmicrobe.trait:10_41	biolink:PhenotypicQuality	10-41	BacDive_Temperature_for_growth	129			UNMAPPED	
kgmicrobe.trait:leucine	biolink:PhenotypicQuality	leucine	BacDive_Metabolite_production|BacDive_Metabolite_utilization	129			UNMAPPED	
kgmicrobe.trait:06_10	biolink:PhenotypicQuality	06-10	BacDive_Salt_concentration|BacDive_pH_for_growth	128			UNMAPPED	
kgmicrobe.trait:2_4	biolink:PhenotypicQuality	2-4	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	127			UNMAPPED	
kgmicrobe.trait:mollusca	biolink:PhenotypicQuality	#Mollusca	BacDive_Isolation_category_3	127			UNMAPPED	
kgmicrobe.trait:4_days	biolink:PhenotypicQuality	4 days	BacDive_Incubation_period	126			UNMAPPED	
kgmicrobe.trait:alpha_lactose	biolink:PhenotypicQuality	alpha-lactose	BacDive_Metabolite_utilization	126			UNMAPPED	
kgmicrobe.trait:composting	biolink:PhenotypicQuality	#Composting	BacDive_Isolation_category_3	126			UNMAPPED	
