ingredient_name	occurrence_count	chebi_id	cas_rn	kg_microbe_node_id	mim_id	culturemech_term_id	mapping_status	synonyms	example_media
Rabbit serum	13				MICRO:0002392		MAPPED		CultureMech:005218; CultureMech:006781; CultureMech:009146
Inosin	13	CHEBI:17596	58-63-9		CHEBI:17596	CHEBI:17596	MAPPED	(2R,3S,4R,5R)-2-(hydroxymethyl)-5-(6-hydroxy-9H-purin-9-yl)tetrahydrofuran-3,4-diol|9-(beta-D-ribofuranosyl)-9H-purin-6-ol|9-beta-D-ribofuranosyl-9H-purin-6-ol|9-beta-D-ribofuranosylhypoxanthine|Inosin|hypoxanthine D-riboside|hypoxanthosine|inosina|inosinum	CultureMech:005909; CultureMech:005898; CultureMech:005899
Glutathione	13	CHEBI:16856		CHEBI:16856	CHEBI:16856	CHEBI:16856	MAPPED	L-gamma-glutamyl-L-cysteinylglycine|glutathione	CultureMech:006534; CultureMech:008331; CultureMech:010000
MES [2-(N-morpholino) ethane sulfonic acid]	13	CHEBI:39005	4432-31-9	CHEBI:39005	CHEBI:39005	CHEBI:39005	MAPPED	2-(4-morpholinyl)ethanesulfonic acid|2-(N-Morpholino)aethansulfonsaeure|2-(N-Morpholino)ethansulfonsaeure|2-(N-morpholino)ethanesulfonic acid|2-(morpholin-4-yl)ethanesulfonic acid|2-morpholin-4-ylethanesulfonic acid|2-morpholinoethanesulphonic acid|4-morpholineethanesulfonic acid|4-morpholinethanesulfonic acid|MES (2-Morpholinoethanesulfonic acid)|MES (2-[N-Morpholino]ethane sulfonic acid)|MES acids	CultureMech:006564; CultureMech:006565; CultureMech:009155
PABA	13	CHEBI:30753	150-13-0	CHEBI:30753	CHEBI:30753	CHEBI:30753	MAPPED	1-Amino-4-carboxybenzene|4-Amino-benzoic acid|4-Aminobenzoesaeure|4-Aminobenzoic Acid|4-Carboxyaniline|4-Carboxyphenylamine|4-aminobenzoic acid|ABEE|PABA|Para-aminobenzoic acid|gamma-Aminobenzoic acid|p--Aminobenzoic acid|p-Amino Benzoic Acid|p-Aminobenzoesaeure|p-carboxyaniline|p-carboxyphenylamine	CultureMech:006738; CultureMech:009624; CultureMech:001235
'Fe(III	13						UNMAPPED		CultureMech:007319; CultureMech:007322; CultureMech:007349
HCl (25%)	13						UNMAPPED		CultureMech:007577; CultureMech:008844; CultureMech:009053
Seawater	13				ENVO:00002149		MAPPED	Seawater (30 ppt)|Seawater(non-sterilized)|sea water	CultureMech:007907; CultureMech:008774; CultureMech:009123
SrCl2·6H2O	13	CHEBI:36385	10025-70-4	CHEBI:36385	CHEBI:36385	CHEBI:36385	MAPPED	SrCl2 . 6H2O|SrCl2 x 6 H2O (0.1% w/v)|SrCl2.6H2O|SrCl2·6H2O|SrCl2・6H2O|Strontium chloride hexahydrate|strontium dichloride hexahydrate|strontium dichloride--water (1/6)	CultureMech:008186; CultureMech:008197; CultureMech:008205
(NH4)2Ni(SO4)2·6H2O	13	CHEBI:86149	56110-30-6		CHEBI:86149	CHEBI:86149	MAPPED	(NH4)2Ni(SO4)2|(NH4)2Ni(SO4)2 x 6 H2O (0.1% w/v)|(NH4)2Ni(SO4)2.6H2O|(NH4)2Ni(SO4)2·6H2O|(NH4)2Ni(SO4)2•6H2O|(NH4)2Ni(SO4)2・6H2O|Ammonium nickel(2+) sulfate hexahydrate|Diammonium nickel disulfate hexahydrate|Nickel ammonium sulfate hexahydrate|Nickel diammonium disulfate hexahydrate|ammonium nickel sulfate hexahydrate|ammonium nickel(2+) sulfate--water (2/1/2/6)|ammonium nickel(II) sulfate hexahydrate	CultureMech:008186; CultureMech:008205; CultureMech:008212
CaSO4·2H2O	13	CHEBI:32583	10101-41-4	CHEBI:32583	CHEBI:32583	CHEBI:32583	MAPPED	CaSO4 . 2H2O|CaSO4 x 2H2O|CaSO4 x2H2O|CaSO4 · 2 H2O|CaSO4 · 2H2O|CaSO4.2H2O|CaSO4·2H2O|CaSO4•2H2O|CaSO4•2H2O(Mallinckroft 4300)|CaSO4・2H2O|calcium sulfate dihydrate|calcium sulfate--water (1/2)|calcium(II) sulfate, dihydrate (1:1:2)|sulfuric acid, calcium salt (1:1), dihydrate|sulfuric acid, calcium(2+) salt, dihydrate	CultureMech:008327; CultureMech:008435; CultureMech:008450
NaOH 1 N	13						UNMAPPED		CultureMech:009104; CultureMech:009105; CultureMech:009106
L-cysteine hydrochloride	13						UNMAPPED		CultureMech:009104; CultureMech:009105; CultureMech:009106
Cysteine HCl	13						UNMAPPED		CultureMech:009263; CultureMech:009330; CultureMech:009254
dehydrated Wilkins-Chalgren medium	13				UNMAPPED_0373		UNMAPPED		CultureMech:005039; CultureMech:005041; CultureMech:005042
Ammonium heptamolybdate tetrahydrate	13	CHEBI:91249	13106-76-8	CHEBI:91249	CHEBI:91249	CHEBI:91249	MAPPED	(NH4)2MoO4|(NH4)6Mo7O24|(NH4)6Mo7O24 x 4 H2O|Ammonium Molybdate|Ammonium heptamolybdate tetrahydrate|Ammonium molybdate(VI)|Molybdic acid ammonium salt tetrahydrate|Molybdic acid, diammonium salt|ammonium molybdate|ammonium orthomolybdate|bisammonium dioxido(dioxo)molybdenum|diammonium tetraoxomolybdate	CultureMech:015501; CultureMech:015629; CultureMech:015630
L-Cysteine hydrochloride monohydrate	13	CHEBI:91248	7048-04-6		CHEBI:91248	CHEBI:91248	MAPPED	(1R)-1-carboxy-2-sulfanylethan-1-aminium chloride--water (1/1)|(2R)-2-Amino-3-sulfanyl-propanoic acid hydrochloride monohydrate|Cystein-HCl x 2 H2O (5% (w/v))|L--Cysteine・HCL・H2O|L-Cysteine HCl x H2O|L-Cysteine monohydrate monochloride|L-Cysteine・HCl・H2O|L-cysteine HCl.H2O|L-cysteine hydrochloride hydrate|L-cysteine hydrochloride--water (1/1)	CultureMech:015531; CultureMech:015633; CultureMech:015731
TES	12	CHEBI:39035	7365-44-8	CHEBI:39035	CHEBI:39035	CHEBI:39035	MAPPED	TES buffer|TES buffer(Sigma T 1375)	CultureMech:015453; CultureMech:015455; CultureMech:001255
Yeast extract (Oxoid)	12		8013-01-2		FOODON:03315426		MAPPED	Bacto Yeast  Extract (Difco)|Bacto Yeast Extract (Difco)|Bacto yeast extract|Bacto-yeast extract|Difco Bacto-yeast extract|Dried yeast extract S (Wako)|Fresh Baker's Yeast Extract|Liquid yeast extract (Flow)|Yeast Extract (BD 211928)|Yeast Extract (BD 212750)|Yeast Extract (BD, 212750)|Yeast Extract (Hardy C7340)|Yeast Extract(Difco)|Yeast extract (BBL)|Yeast extract (BD Bacto)|Yeast extract (BD--Difco)|Yeast extract (BD-BBL)|Yeast extract (BD-Difco)|Yeast extract (Difco or Oxoid)|Yeast extract (Difco)|Yeast extract (OXOID)|Yeast extract (Oxoid LP0021, BD 212750)|Yeast extract (Oxoid)|Yeast extract(Bacto, Difco)|Yeast extract(CAS: 8013-01-2)|Yeast extract(Oxoid)|yeast extract (BD Difco)|yeast extract (BD-Difco)|yeast extract (Difco)|yeast extract (Nacalai Tesque, Kyoto, Japan)	CultureMech:015860; CultureMech:015861; CultureMech:015863
Bacto Peptone (Difco)	12				MICRO:0000178		MAPPED	Bacteriological peptone|Bacto Peptone (Difco)|Bacto peptone (BD--Difco)|Bacto peptone (BD-Difco)|Bacto-Peptone (BD)|Fish peptone|Fish peptone (Fluka)|Gelatin peptone|Meat peptone|Neopeptone|Neopeptone (BD-Difco)|Neopeptone (Difco Laboratories, Detroit, Ml)|Oxoid peptone|Peptone|Peptone (BBL 11910)|Peptone (BD BACTO)|Peptone (BD Bacto)|Peptone (BD--Difco)|Peptone (BD-Difco)|Peptone (Oxoid)|Peptone (meat)|Peptone from meat|Peptone from meat (pepsin-digested)|Peptone mixture|Peptone, Bacto (BD 211677)|Universal peptone|Universal peptone (Merck)|peptone	CultureMech:008305; CultureMech:008121; CultureMech:008172
Air	12						UNMAPPED		CultureMech:008437; CultureMech:006643; CultureMech:007848
Disodium fumarate	12	CHEBI:115156	17013-01-3	CHEBI:115156	CHEBI:115156	CHEBI:115156	MAPPED	Disodium fumarate|E365|Fumaric acid, disodium salt|Na-fumarate|Sodium fumarate|disodium (2E)-but-2-enedioate|disodium fumarate	CultureMech:002243; CultureMech:003948; CultureMech:007653
Tomato juice	12				FOODON:03301454		MAPPED		CultureMech:002502; CultureMech:004667; CultureMech:005089
Calcium Chloride	12	CHEBI:3312	10043-52-4	CHEBI:3312	CHEBI:3312	CHEBI:3312	MAPPED	CaCl2 × 2 H2O|CaCl2*2H2O|CaCl22H2O|calcium dichloride	CultureMech:003541; CultureMech:008853; CultureMech:002016
VOSO4 x 5 H2O	12	CHEBI:132758	14708-82-8		CHEBI:132758	CHEBI:132758	MAPPED	Oxosulfatovanadium pentahydrate|VOSO4 . 5H2O|VOSO4 x 5 H2O (0.01% w/v)|VOSO4.5H2O|oxovanadium(2+) sulfate--water (1/5)|vanadic sulfate pentahydrate|vanadium oxide sulfate pentahydrate|vanadium oxysulfate pentahydrate|vanadium(IV) oxide sulfate pentahydrate|vanadyl sulfate pentahydrate	CultureMech:003601; CultureMech:004181; CultureMech:006711
NiCl2 x 2 H2O	12	CHEBI:34887	7718-54-9	CHEBI:34887	CHEBI:34887	CHEBI:34887	MAPPED	NiCl2 . 6H2O|NiCl2 x 2 H2O|NiCl2 x 2H2O|NiCl2 x 5 H2O|NiCl2 x 6 H2O (0.1% w/v)|NiCl2 x 6H2O|NiCl2 x H2O|NiCl2 · 6H2O|NiCl2 ∙ 6 H2O|NiCl2.6H2O|NiCl2x6H2O|NiCl2·2H2O|NiCl2·6H2O|NiCl2∙6H2O|NiCl2⋅6H2O|NiCl2・5H2O|NiCl2・6H2O|NiCl2・H2O|nickel dichloride|nickel(2+) chloride|nickel(II) chloride	CultureMech:003805; CultureMech:000931; CultureMech:000930
Na pyruvate	12	CHEBI:50144	113-24-6	CHEBI:50144	CHEBI:50144	CHEBI:50144	MAPPED	1 M Sodium pyruvate*|Na pyruvate|Natriumpyruvat|Pyruvic acid sodium salt|Sodium Pyruvate|pyruvic acid, sodium salt|sodium 2-oxopropanoate|sodium pyruvate	CultureMech:003981; CultureMech:006924; CultureMech:000950
Sodium beta-glycerophosphate	12	CHEBI:132089	819-83-0		CHEBI:132089	CHEBI:132089	MAPPED	Disodium beta-glycerophosphate|Disodium glycerol 2-phosphate|Disodium glycerophosphate|Glycerol, 2-(dihydrogen phosphate), disodium salt|Na2-ß-glycerolphosphate|Sodium 2-glycerophosphate|Sodium beta-glycerol phosphate|disodium 1,3-dihydroxypropan-2-yl phosphate|sodium glycerol 2-phosphate	CultureMech:005289; CultureMech:006902; CultureMech:002943
(NH4)2Ni(SO4)2	12	CHEBI:86149	56110-30-6		CHEBI:86149	CHEBI:86149	MAPPED	(NH4)2Ni(SO4)2|(NH4)2Ni(SO4)2 x 6 H2O (0.1% w/v)|(NH4)2Ni(SO4)2.6H2O|(NH4)2Ni(SO4)2·6H2O|(NH4)2Ni(SO4)2•6H2O|(NH4)2Ni(SO4)2・6H2O|Ammonium nickel(2+) sulfate hexahydrate|Diammonium nickel disulfate hexahydrate|Nickel ammonium sulfate hexahydrate|Nickel diammonium disulfate hexahydrate|ammonium nickel sulfate hexahydrate|ammonium nickel(2+) sulfate--water (2/1/2/6)|ammonium nickel(II) sulfate hexahydrate	CultureMech:005713; CultureMech:005912; CultureMech:006420
Na-butyrate	12	CHEBI:64103	156-54-7	CHEBI:64103	CHEBI:64103	CHEBI:64103	MAPPED	1 M Sodium butyrate|Butanoic acid, sodium salt|Butanoic acid, sodium salt (1:1)|Butyrate (sodium salt)|Butyrate sodium|Butyric acid sodium salt|Butyric acid, sodium salt|Sodium butyrate|Sodium n-butyrate|Sodium propanecarboxylate|sodium butanoate|sodium butyrate	CultureMech:006102; CultureMech:006713; CultureMech:009096
Indigocarmine	12	CHEBI:31695	860-22-0	CHEBI:31695	CHEBI:31695	CHEBI:31695	MAPPED	Acid blue 74|C.I. 73015|C.I. 75781|C.I. Acid Blue 74|C.I. Food Blue 1|C.I. Food Blue 1, disodium salt|C.I. Natural Blue 2|Disodium 3,3'-dioxo-(delta2,2'-biindoline)-5,5'-disulfonate|Disodium 5,5'-disulfoindigo|Disodium 5,5'-indigotin disulfonate|Disodium indigo-5,5-disulfonate|E 132|FD and C Blue No. 2|FD&C Blue No. 2|Indigo carmine|Indigotin-5,5'-disulfonic acid disodium salt|Indigotindisulfonate sodium|Natural blue 2|Sodium 5,5'-indigotindisulfonate|Sodium indigo-5,5'-bisulfonate|disodium (2E)-3-oxo-2-(3-oxo-5-sulfonato-1,3-dihydro-2H-indol-2-ylidene)-2,3-dihydro-1H-indole-5-sulfonate|indigo carmine	CultureMech:006255; CultureMech:006350; CultureMech:001806
L-Ascorbic acid	12	CHEBI:29073	50-81-7	CHEBI:29073	CHEBI:29073	CHEBI:29073	MAPPED	(5R)-5-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxyfuran-2(5H)-one|Ascoltin|Ascorbicap|Ascorbinsaeure|E 300|E-300|E300|L-(+)-ascorbic acid|L-threo-hex-2-enono-1,4-lactone|acide ascorbique|acido ascorbico|acidum ascorbicum|acidum ascorbinicum	CultureMech:006400; CultureMech:007848; CultureMech:002279
Sodium acetate・3H2O	12	CHEBI:32954	127-09-3	CHEBI:32954	CHEBI:32954	CHEBI:32954	MAPPED	Sodium acetate・3H2O|anhydrous sodium acetate|sodium acetate|sodium acetate anhydrous	CultureMech:007564; CultureMech:007645; CultureMech:007676
sodium pyruvate	12	CHEBI:50144	113-24-6	CHEBI:50144	CHEBI:50144	CHEBI:50144	MAPPED	1 M Sodium pyruvate*|Na pyruvate|Natriumpyruvat|Pyruvic acid sodium salt|Sodium Pyruvate|pyruvic acid, sodium salt|sodium 2-oxopropanoate|sodium pyruvate	CultureMech:007581; CultureMech:007701; CultureMech:009061
Na2HPO4・12H2O	12	CHEBI:34683	7782-85-6	CHEBI:34683	CHEBI:34683	CHEBI:34683	MAPPED	Na2HPO4 . 12H2O|Na2HPO4 x 12 H2O|Na2HPO4 x 2 H2O|Na2HPO4 x 2H2O|Na2HPO4 x 3 H2O|Na2HPO4 x 6 H2O|Na2HPO4 x H2O|Na2HPO4 x2 H2O|Na2HPO4.12H2O|Na2HPO4.7H2O|Na2HPO4·12H2O|Na2HPO4•7H2O|disodium hydrogenphosphate	CultureMech:007598; CultureMech:007601; CultureMech:007905
Sodium glutamate monohydrate	12	CHEBI:64243	6106-04-3		CHEBI:64243	CHEBI:64243	MAPPED	monosodium L-glutamate|sodium (2S)-2-azaniumylpentanedioate	CultureMech:008435; CultureMech:008450; CultureMech:008451
CuCl2 . 2H2O	12	CHEBI:86318	10125-13-0	CHEBI:86318	CHEBI:86318	CHEBI:86318	MAPPED	Copper(II) chloride dihydrate|Coppertrace|CuCl 2|CuCl 2 x 2 H2O|CuCl2 . 2H2O|CuCl2 .2H2O|CuCl2 x 2H2O|CuCl2 · 2H2O|CuCl2*2H2O|CuCl2-2H2O|CuCl2.2H2O|CuCl2·2H2O|CuCl2⋅2H2O|CuCl2・2H2O|Cupric chloride dihydrate|copper (II) chloride dihydrate|copper dichloride--water (1/2)|copper(2+) dichloride --water (1/2)|copper(II) chloride dihydrate|copper(II) chloride--water (1/2)|copper(II) chloride.2H2O|cupric chloride.2H2O	CultureMech:008780; CultureMech:009232; CultureMech:009259
Monopotassium Phosphate	12	CHEBI:63036	7778-77-0	CHEBI:63036	CHEBI:63036	CHEBI:63036	MAPPED	(dibasic)|KH PO|KH2PO4(Sigma P 0662)|MKP|Monopotassium dihydrogen phosphate|Monopotassium monophosphate|Monopotassium orthophosphate|Monopotassium phosphate|Orthophosphoric acid, monopotassium salt|Phosphoric acid, monopotassium salt|Phosphoric acid, potassium salt (1:1)|Potassium Phosphate|Potassium acid phosphate|Potassium dihydrogen orthophosphate|Potassium dihydrogen phosphate|Potassium phosphate monobasic|Sorensen's potassium phosphate|potassium dihydrogen phosphate	CultureMech:008799; CultureMech:002016; CultureMech:008798
Disodium Phosphate	12	CHEBI:34683	7782-85-6	CHEBI:34683	CHEBI:34683	CHEBI:34683	MAPPED	Na2HPO4 . 12H2O|Na2HPO4 x 12 H2O|Na2HPO4 x 2 H2O|Na2HPO4 x 2H2O|Na2HPO4 x 3 H2O|Na2HPO4 x 6 H2O|Na2HPO4 x H2O|Na2HPO4 x2 H2O|Na2HPO4.12H2O|Na2HPO4.7H2O|Na2HPO4·12H2O|Na2HPO4•7H2O|disodium hydrogenphosphate	CultureMech:008853; CultureMech:002016; CultureMech:008986
ZnSO4.7H2O	12	CHEBI:32312	7446-20-0	CHEBI:32312	CHEBI:32312	CHEBI:32312	MAPPED	Zinc sulfate heptahydrate|Zn2SO4·7H2O|ZnSO4 . 7H2O|ZnSO4 .7H2O|ZnSO4 x 7H2O|ZnSO4 · 7H2O|ZnSO4 × 7H2O|ZnSO4 ⋅ 7H2O|ZnSO4*7 H2O|ZnSO4*7H2O|ZnSO4-7H2O|ZnSO4.7H2O|ZnSO4·7H2O|ZnSO4∙7H2O|ZnSO4⋅7H2O|ZnSO4・7H2O|ZnSO4･7H2O|zinc sulfate (1:1) heptahydrate|zinc sulfate heptahydrate|zinc sulfate heptahydrate (1:1:7)|zinc(2+) sulfate heptahydrate|zinc(2+) sulfate--water (1/7)	CultureMech:009592; CultureMech:009667; CultureMech:009170
Fe2(SO4)3・xH2O	12						UNMAPPED		CultureMech:009641; CultureMech:009743; CultureMech:009744
Aspartate	12						UNMAPPED		CultureMech:007420; CultureMech:007222; CultureMech:007076
Sea salts	12				UNMAPPED_0148		UNMAPPED	Sea Salt|sea salts (Sigma)	CultureMech:015457; CultureMech:015458; CultureMech:015459
Nickel (II) sulfate hexahydrate	12	CHEBI:53437	10101-97-0		CHEBI:53437	CHEBI:53437	MAPPED	Nickel monosulfate hexahydrate|Nickel sulfate hexahydrate|Nickel sulphate hexahydrate|Nickel(2+) sulfate hexahydrate|Nickel(II) sulfate hexahydrate|Nickelous sulfate hexahydrate|nickel sulfate hexahydrate|nickel(2+) sulfate--water (1/6)|nickel(II) sulphate hexahydrate|nickelous sulphate hexahydrate	CultureMech:015516; CultureMech:015535; CultureMech:015583
N-Acetyl-D-Glucosamine	12	CHEBI:8006	72-87-7	CHEBI:8006	CHEBI:8006	CHEBI:8006	MAPPED	2-acetamido-2-deoxy-D-glucopyranose|Peptideglycan(N-acetyl-D-glucosamine)|Peptidoglycan(N-acetyl-D-glucosamine)	CultureMech:015654; CultureMech:015655; CultureMech:015656
L-methionine	12	CHEBI:16643	63-68-3	CHEBI:16643	CHEBI:16643	CHEBI:16643	MAPPED	(2S)-2-amino-4-(methylsulfanyl)butanoic acid|(S)-2-amino-4-(methylthio)butanoic acid|(S)-2-amino-4-(methylthio)butyric acid|(S)-methionine|L-(-)-methionine|L-Methionin|L-alpha-amino-gamma-methylmercaptobutyric acid|METHIONINE	CultureMech:015771; CultureMech:015772; CultureMech:015773
11	11						UNMAPPED		CultureMech:000025; CultureMech:000159; CultureMech:000160
Thiamine HCl (Vitamin B )	11	CHEBI:49105	67-03-8	CHEBI:49105	CHEBI:49105	CHEBI:49105	MAPPED	3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-5-(2-hydroxyethyl)-4-methyl-1,3-thiazol-3-ium chloride hydrochloride|3-[(4-azaniumyl-2-methylpyrimidin-5-yl)methyl]-5-(2-hydroxyethyl)-4-methyl-1,3-thiazol-3-ium dichloride|Thiamin HCl|Thiamin-HCl|Thiamine Dihydrochloride|Thiamine HCl (B ) -|Thiamine HCl (Vitamin B )|Thiamine HCl (Vitamin B1)|Thiamine hydrochloride|Thiamine-HCl|Thiamine HCl|Thiamine·HCl|Thiamine・HCl|thiamin dichloride|thiamin hydrochloride|thiamine chloride hydrochloride|thiamine dichloride|thiamine hydrochloride|thiamine(2+) dichloride|thiaminium chloride hydrochloride	CultureMech:000064; CultureMech:000065; CultureMech:000149
FeCl2 solution (see Medium No. 187 )	11						UNMAPPED		CultureMech:015860; CultureMech:015861; CultureMech:015863
Trace element solution (see Medium No. 187 )	11						UNMAPPED		CultureMech:015860; CultureMech:015861; CultureMech:015863
Bacto Marine Broth 2216 (Difco)	11						UNMAPPED		CultureMech:008340; CultureMech:008604; CultureMech:008758
Malt extract (BD-Difco)	11		8002-48-0		FOODON:03301056		MAPPED	Bacto Malt Extract (Difco)|Malt extract (BD--Difco)|Malt extract (BD-Difco)|Malt extract powder|Malt extract(Sigma M-0383)	CultureMech:010428; CultureMech:009585; CultureMech:009038
MnSO4·2H2O	11	CHEBI:86356			CHEBI:86356	CHEBI:86356	MAPPED	MnSO4 . 2H2O|MnSO4 x 2 H2O (0.1% w/v)|MnSO4 x 2 H2O (1% solution)|MnSO4.2H2O|MnSO4·2H2O|manganese(2+) sulfate dihydrate|manganese(2+) sulfate--water (1/2)|manganese(2+) sulphate dihydrate|manganese(II) sulfate dihydrate|manganese(II) sulphate dihydrate	CultureMech:008437; CultureMech:008134; CultureMech:008135
Na3-citrate x 2 H2O	11	CHEBI:32142	6132-04-3	CHEBI:32142	CHEBI:32142	CHEBI:32142	MAPPED	2-hydroxy-1,2,3-propanetricarboxylic acid trisodium salt dihydrate|Na2citrate x 2 H2O|Na3-citrate x 2 H2O (0.6 g/l stock solution)|Na3Citrate x 2 H2O|Na3‐citrate x 2H2O|Na3‐citrate x 2H2O|Sodium citrate dihydrate|Sodium citrate hydrate|Trisodium Citrate Dihydrate|sodium citrate dihydrate|trisodium 2-hydroxypropane-1,2,3-tricarboxylate--water (1/2)	CultureMech:001070; CultureMech:001128; CultureMech:008909
Soil extract	11				MICRO:0000457		MAPPED		CultureMech:002741; CultureMech:004623; CultureMech:006271
Myo-inositol	11	CHEBI:17268	87-89-8	CHEBI:17268	CHEBI:17268	CHEBI:17268	MAPPED	(1r,2R,3S,4s,5R,6S)-cyclohexane-1,2,3,4,5,6-hexol|1,2,3,4,5,6-HEXAHYDROXY-CYCLOHEXANE|1,2,3,4,5,6-cyclohexanehexol|1,2,3,5/4,6-cyclohexanehexol|1D-myo-Inositol|1L-myo-Inositol|Bios I|Cyclohexitol|D-myo-Inositol|Dambose|Inositol (myo-inositol)|Ins|L-myo-Inositol|Meat sugar|Myoinositol|cis-1,2,3,5-trans-4,6-cyclohexanehexol|i-inositol|inosite	CultureMech:002865; CultureMech:003265; CultureMech:005968
MgCl2 x 7 H2O	11	CHEBI:6636	12285-34-6	CHEBI:6636	CHEBI:6636	CHEBI:6636	MAPPED	Magnesium chloride anhydrous|MgCl2  x 7 H2O|MgCl2  x 76 H2O|MgCl2 X 6H2O|MgCl2 x 7 H2O|MgCl2 x 7H2O|MgCl2x7H2O|MgCl2 x 6H2O|magnesium dichloride	CultureMech:003832; CultureMech:004162; CultureMech:000909
Tris-HCl	11						UNMAPPED		CultureMech:003846; CultureMech:005178; CultureMech:006519
Heart Infusion Broth	11				UNMAPPED_0399		UNMAPPED		CultureMech:004003; CultureMech:009044; CultureMech:002240
Para-aminobenzoic acid	11	CHEBI:30753	150-13-0	CHEBI:30753	CHEBI:30753	CHEBI:30753	MAPPED	1-Amino-4-carboxybenzene|4-Amino-benzoic acid|4-Aminobenzoesaeure|4-Aminobenzoic Acid|4-Carboxyaniline|4-Carboxyphenylamine|4-aminobenzoic acid|ABEE|PABA|Para-aminobenzoic acid|gamma-Aminobenzoic acid|p--Aminobenzoic acid|p-Amino Benzoic Acid|p-Aminobenzoesaeure|p-carboxyaniline|p-carboxyphenylamine	CultureMech:004034; CultureMech:006847; CultureMech:000963
Thymidine	11	CHEBI:17748	50-89-5		CHEBI:17748	CHEBI:17748	MAPPED	1-(2-deoxy-beta-D-erythro-pentofuranosyl)-5-methylpyrimidine-2,4(1H,3H)-dione|2'-deoxy-5-methyluridine|2'-deoxythymidine|2'-thymidine|5-methyl-2'-deoxyuridine|Deoxythymidine|dThd|thymine 2'-deoxyriboside	CultureMech:005178; CultureMech:008827; CultureMech:007092
Bacto Middlebrook 7H10 agar	11	CHEBI:2509	9002-18-0	CHEBI:2509	CHEBI:2509	CHEBI:2509	MAPPED	( Noble)|( modified)|(alternative)|(for solid medium)|(for solid medium, alternative)|(if appropriate)|Bacteriological Agar	CultureMech:006191; CultureMech:006479; CultureMech:006185
Na2HPO4 x H2O	11	CHEBI:34683	7782-85-6	CHEBI:34683	CHEBI:34683	CHEBI:34683	MAPPED	Na2HPO4 . 12H2O|Na2HPO4 x 12 H2O|Na2HPO4 x 2 H2O|Na2HPO4 x 2H2O|Na2HPO4 x 3 H2O|Na2HPO4 x 6 H2O|Na2HPO4 x H2O|Na2HPO4 x2 H2O|Na2HPO4.12H2O|Na2HPO4.7H2O|Na2HPO4·12H2O|Na2HPO4•7H2O|disodium hydrogenphosphate	CultureMech:006387; CultureMech:000904; CultureMech:000901
Caproic acid	11	CHEBI:30776	142-62-1	CHEBI:30776	CHEBI:30776	CHEBI:30776	MAPPED	1-hexanoic acid|1-pentanecarboxylic acid|6:0|CH3-[CH2]4-COOH|Capronic acid|HEXANOIC ACID|Hexylic acid|Pentanecarboxylic acid|butylacetic acid|hexanoic acid|hexoic acid|n-Caproic acid|n-hexanoic acid|n-hexoic acid|n-hexylic acid|pentiformic acid|pentylformic acid	CultureMech:006564; CultureMech:006565; CultureMech:009155
NaClO3	11	CHEBI:65242	7775-09-9	CHEBI:65242	CHEBI:65242	CHEBI:65242	MAPPED	Chlorate de sodium|Chlorate salt of sodium|Chloric acid, sodium salt|Natriumchlorat|sodium chlorate	CultureMech:006779; CultureMech:006875; CultureMech:008778
Peptone (Oxoid)	11				MICRO:0000178		MAPPED	Bacteriological peptone|Bacto Peptone (Difco)|Bacto peptone (BD--Difco)|Bacto peptone (BD-Difco)|Bacto-Peptone (BD)|Fish peptone|Fish peptone (Fluka)|Gelatin peptone|Meat peptone|Neopeptone|Neopeptone (BD-Difco)|Neopeptone (Difco Laboratories, Detroit, Ml)|Oxoid peptone|Peptone|Peptone (BBL 11910)|Peptone (BD BACTO)|Peptone (BD Bacto)|Peptone (BD--Difco)|Peptone (BD-Difco)|Peptone (Oxoid)|Peptone (meat)|Peptone from meat|Peptone from meat (pepsin-digested)|Peptone mixture|Peptone, Bacto (BD 211677)|Universal peptone|Universal peptone (Merck)|peptone	CultureMech:007517; CultureMech:007518; CultureMech:007539
Ferric citrate (0.1%, w/v)	11						UNMAPPED		CultureMech:007755; CultureMech:009913; CultureMech:009927
Sodium DL-malate	11	CHEBI:91260	138-09-0	CHEBI:91261	CHEBI:91261	CHEBI:91260	MAPPED	(S)-disodium malate|DL-Na-malate|DL-Sodium malate|Disodium L-malate|Na malate|Na-DL-malate|Na-L-malate|Na-malate|Na2-DL-malate|Sodium DL-malate|Sodium L-malate|Sodium Malate And|disodium (-)-malate|disodium (2S)-2-hydroxybutanedioate|disodium (S)-malate|l-Apfelsaure als natrium salz|l-Malic acid, sodium salt	CultureMech:008115; CultureMech:008117; CultureMech:008444
Sodium dithionite	11	CHEBI:66870	7775-14-6	CHEBI:66870	CHEBI:66870	CHEBI:66870	MAPPED	disodium dithionite|sodium hydrosulfite|sodium sulfoxylate	CultureMech:008464; CultureMech:009823; CultureMech:002295
HCl (35%)	11						UNMAPPED		CultureMech:008761; CultureMech:008729; CultureMech:008686
